Imagen,Ruta,Alas,Puertas,Motores,Color
0610657.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,3,Gris
0869742.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,2,Perla
0687610.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,1,Gris
1042021.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,2,Blanco
0482761.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,2,Rojo
0064933.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,1,Perla
1019011.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,2,Blanco
0732456.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,2,Gris
0218039.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,3,Blanco
2223757.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,1,Blanco
0983618.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,2,Perla
1327285.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,3,Perla
0065840.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,1,Rojo
0980196.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,3,Blanco
0995286.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,2,Gris
1514487.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,2,Blanco
0213505.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,2,Perla
1459191.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,3,Blanco
1063986.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,2,Gris
0056337.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,3,Gris
0409532.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,3,Blanco
0771164.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Perla
0632010.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,3,Blanco
0901504.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,2,Gris
0063052.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,1,Gris
0143080.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,2,Blanco
1089989.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,3,Gris
0907359.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,1,Blanco
0875281.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Perla
1197395.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,2,Gris
1149060.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,3,Gris
1059846.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,3,Gris
0786258.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,3,Rojo
1512865.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,2,Rojo
0523223.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,3,Gris
1115308.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,3,Blanco
1739565.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,2,Gris
0994986.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,2,Gris
0193983.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,1,Perla
0822348.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,2,Gris
1152739.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,3,Blanco
0907429.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,1,Gris
0209554.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,2,Perla
1187709.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Perla
0847273.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,3,Gris
0923506.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,2,Blanco
0059101.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,2,Blanco
1548405.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,3,Rojo
0438655.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,2,Perla
0921022.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,2,Gris
1094669.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,1,Perla
0198443.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Blanco
0851647.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,3,Gris
0247942.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,2,Perla
0564495.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,1,Gris
0826475.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,3,Perla
0065422.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,2,Perla
1189268.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,2,Blanco
0054367.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,1,Blanco
1918572.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,3,Perla
0337947.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,1,Blanco
1143132.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,1,Gris
0789826.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,2,Gris
1942698.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Blanco
0458661.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,1,Blanco
0447807.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,1,Blanco
0074464.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,3,Blanco
1296896.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,2,Perla
0056331.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,1,Rojo
0592977.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,2,Gris
0610653.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,3,Perla
0523229.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,1,Perla
1899111.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,1,Perla
0069776.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,1,Gris
0569402.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,3,Gris
1538841.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,3,Rojo
0830001.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,1,Gris
1323729.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,3,Rojo
0799595.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Perla
1110775.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,2,Gris
1393334.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,1,Gris
0728390.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,1,Perla
0907408.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,2,Gris
1396876.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,1,Blanco
0492497.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,1,Blanco
0097935.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,3,Rojo
1691783.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,1,Perla
0278443.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,1,Blanco
0090868.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,1,Perla
1927313.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,2,Perla
0178292.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,2,Rojo
0114409.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,2,Gris
0986161.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,1,Blanco
1295999.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,3,Rojo
1879894.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,2,Perla
1564774.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,2,Blanco
0097577.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,1,Gris
0074247.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,2,Gris
2115318.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,1,Perla
0687267.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,1,Gris
0748299.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,3,Blanco
1251289.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,2,Rojo
1560581.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,3,Blanco
0848057.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,1,Perla
0066279.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,3,Perla
2080684.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,1,Gris
1102458.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,1,Rojo
1906287.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,2,Blanco
0438658.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,2,Perla
1368847.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,3,Rojo
1871885.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,3,Blanco
2236962.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,3,Gris
1846193.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,2,Perla
1702255.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,3,Gris
0420818.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,3,Rojo
2186493.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,3,Perla
0127627.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,3,Perla
0699596.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,2,Perla
2117477.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,3,Perla
2031382.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,3,Perla
1532634.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,2,Rojo
2244446.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,2,Gris
0242845.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,2,Perla
2026894.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,1,Rojo
1059090.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,2,Gris
1398863.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,1,Perla
0302648.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,3,Gris
0987619.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,2,Rojo
0988944.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,3,Blanco
0853774.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,3,Blanco
1758545.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,2,Rojo
0122393.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,3,Blanco
2066262.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Perla
0829999.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,3,Perla
0939568.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,2,Blanco
0328123.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,2,Perla
1933719.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,3,Rojo
0740907.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,2,Perla
0933127.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,2,Gris
1758606.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,2,Blanco
1264479.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,1,Blanco
1093636.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,2,Gris
0457865.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,2,Blanco
0723229.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,2,Perla
0706205.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,2,Gris
2103080.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,2,Perla
1459173.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,2,Rojo
0657761.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,3,Perla
1818731.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,3,Rojo
1627446.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,1,Blanco
0807405.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,3,Perla
0074245.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,1,Perla
0097119.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,1,Gris
1543563.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,1,Rojo
1147739.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,3,Rojo
1337392.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,1,Perla
0225225.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,1,Perla
1053446.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,3,Perla
0130599.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,1,Rojo
1687908.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,2,Rojo
0604668.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,2,Perla
0114439.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,2,Perla
1543529.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,3,Rojo
1258418.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,3,Blanco
0618967.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,1,Rojo
0977330.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,3,Rojo
1384649.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,1,Rojo
0912693.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,3,Perla
1362802.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,1,Gris
0942001.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,2,Rojo
0143341.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,3,Blanco
0894220.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Gris
0944253.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,2,Perla
0817558.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,3,Perla
0928043.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Blanco
1650651.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,1,Rojo
1823113.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,1,Blanco
1401747.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,3,Blanco
1726606.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,1,Rojo
1615563.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,1,Perla
0731199.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,1,Gris
0784350.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,2,Blanco
1283644.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,2,Blanco
0467430.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,3,Rojo
0745448.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,1,Blanco
0702868.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,3,Gris
0842381.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Perla
2188618.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,1,Blanco
1973457.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,1,Rojo
1861153.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,1,Blanco
2091304.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,2,Gris
0961750.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,2,Blanco
0904850.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Perla
0361351.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,3,Perla
1117081.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,3,Rojo
2080548.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,1,Rojo
0905907.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,1,Rojo
1885885.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,3,Gris
1259152.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,2,Gris
0442918.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,1,Gris
2101958.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,2,Rojo
1730978.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Blanco
1773981.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,1,Perla
1718899.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,3,Gris
0721593.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,2,Gris
1759296.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,1,Perla
1060500.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,3,Perla
2219111.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Rojo
1222170.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,3,Gris
0400397.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,1,Gris
0694487.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,2,Blanco
1503761.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,1,Perla
1774585.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,2,Blanco
0357855.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,3,Rojo
0956171.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,3,Gris
1611252.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,2,Perla
1084518.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,3,Rojo
0984409.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,2,Rojo
0701140.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,2,Perla
1498556.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Perla
2188154.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,3,Gris
0183579.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,3,Perla
0067671.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Blanco
0067036.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,3,Gris
2211307.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,3,Blanco
1121142.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,1,Gris
1368334.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,1,Rojo
2184061.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Blanco
0337266.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,2,Perla
1846150.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,3,Blanco
0382052.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,1,Blanco
1763666.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,3,Gris
2030599.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,2,Rojo
0798632.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,1,Blanco
1244288.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,1,Rojo
0497534.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,1,Perla
1446341.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,1,Blanco
2236966.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,1,Rojo
0957983.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,2,Rojo
0257025.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,2,Perla
0788947.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,3,Perla
1852201.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,3,Blanco
0713745.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,2,Gris
0422707.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,3,Gris
0443893.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,3,Gris
0706175.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,1,Gris
0988468.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,1,Perla
2099419.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,1,Blanco
0781150.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,1,Rojo
1913792.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,1,Blanco
1043795.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,1,Gris
0977350.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,1,Rojo
1561334.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,1,Perla
1390305.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,2,Blanco
1692197.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,1,Gris
1237622.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,1,Rojo
1385341.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,2,Perla
2122829.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,3,Blanco
1470793.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,2,Gris
1136124.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,1,Gris
0081597.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,2,Perla
1712591.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,2,Blanco
1885830.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,3,Blanco
1320110.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,2,Blanco
2137130.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,1,Gris
1806234.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,1,Blanco
0900469.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,3,Gris
2002333.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,3,Perla
2239287.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,1,Perla
0710454.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,2,Rojo
0694546.jpg,FinalDatasets/AvionesComerciales/images/train/,4,4,2,Blanco
1375368.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,3,Rojo
1818747.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,2,Rojo
1016538.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,3,Gris
2071807.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,2,Rojo
2047628.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,3,Rojo
1910716.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Perla
0722225.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,2,Blanco
0292868.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,3,Blanco
1874495.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,1,Gris
1313348.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,1,Blanco
1476615.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,3,Blanco
1052314.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,1,Rojo
1921783.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,3,Perla
1353293.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,1,Perla
1001620.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,1,Gris
1639843.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,1,Perla
1361120.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,3,Gris
0641165.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,2,Perla
0200422.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,2,Perla
1189521.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,3,Perla
0383399.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,2,Rojo
1774010.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,3,Gris
0840357.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,3,Gris
1471544.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,3,Blanco
1246918.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,2,Rojo
1948449.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,2,Rojo
0443884.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,3,Rojo
0723572.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,3,Blanco
1582314.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,3,Perla
0522872.jpg,FinalDatasets/AvionesComerciales/images/train/,2,4,1,Blanco
0476825.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,3,Blanco
1133077.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,2,Gris
0223783.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,1,Perla
1842042.jpg,FinalDatasets/AvionesComerciales/images/train/,2,3,1,Rojo
1326767.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,2,Blanco
0804670.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,3,Perla
1008872.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,1,Perla
0139685.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,3,Rojo
0869644.jpg,FinalDatasets/AvionesComerciales/images/train/,4,1,2,Gris
1068733.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,1,Gris
0092334.jpg,FinalDatasets/AvionesComerciales/images/train/,4,2,2,Gris
0677583.jpg,FinalDatasets/AvionesComerciales/images/train/,4,3,3,Perla
1009031.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,2,Blanco
0688093.jpg,FinalDatasets/AvionesComerciales/images/train/,2,2,2,Gris
1831093.jpg,FinalDatasets/AvionesComerciales/images/train/,2,1,1,Blanco
